# Copyright (C) 2020  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and any partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details, at
# https://fpgasoftware.intel.com/eula.

# Quartus Prime Version 20.1.0 Build 711 06/05/2020 SJ Lite Edition
# File: C:\Users\zhoud\Desktop\Git\led-remote\test.csv
# Generated on: Mon Mar 15 20:30:26 2021

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
b[2],Input,PIN_C10,7,B7_N0,PIN_C10,2.5 V,,,,,
b[1],Input,PIN_C11,7,B7_N0,PIN_C11,2.5 V,,,,,
b[0],Input,PIN_D12,7,B7_N0,PIN_D12,2.5 V,,,,,
clk,Input,PIN_N5,2,B2_N0,PIN_N5,2.5 V,,,,,
down,Input,PIN_A7,7,B7_N0,PIN_A7,2.5 V,,,,,
g[2],Input,PIN_C12,7,B7_N0,PIN_C12,2.5 V,,,,,
g[1],Input,PIN_A12,7,B7_N0,PIN_A12,2.5 V,,,,,
g[0],Input,PIN_B12,7,B7_N0,PIN_B12,2.5 V,,,,,
led,Output,PIN_W10,3,B3_N0,PIN_W10,2.5 V,,,,,
mode,Input,PIN_F15,7,B7_N0,PIN_F15,2.5 V,,,,,
neg_sign[6],Output,PIN_B17,7,B7_N0,PIN_B17,2.5 V,,,,,
neg_sign[5],Output,PIN_A18,7,B7_N0,PIN_A18,2.5 V,,,,,
neg_sign[4],Output,PIN_A17,7,B7_N0,PIN_A17,2.5 V,,,,,
neg_sign[3],Output,PIN_B16,7,B7_N0,PIN_B16,2.5 V,,,,,
neg_sign[2],Output,PIN_E18,6,B6_N0,PIN_E18,2.5 V,,,,,
neg_sign[1],Output,PIN_D18,6,B6_N0,PIN_D18,2.5 V,,,,,
neg_sign[0],Output,PIN_C18,7,B7_N0,PIN_C18,2.5 V,,,,,
r[2],Input,PIN_A13,7,B7_N0,PIN_A13,2.5 V,,,,,
r[1],Input,PIN_B14,7,B7_N0,PIN_B14,2.5 V,,,,,
r[0],Input,PIN_A14,7,B7_N0,PIN_A14,2.5 V,,,,,
svg[6],Output,PIN_C17,7,B7_N0,PIN_C17,2.5 V,,,,,
svg[5],Output,PIN_D17,7,B7_N0,PIN_D17,2.5 V,,,,,
svg[4],Output,PIN_E16,7,B7_N0,PIN_E16,2.5 V,,,,,
svg[3],Output,PIN_C16,7,B7_N0,PIN_C16,2.5 V,,,,,
svg[2],Output,PIN_C15,7,B7_N0,PIN_C15,2.5 V,,,,,
svg[1],Output,PIN_E15,7,B7_N0,PIN_E15,2.5 V,,,,,
svg[0],Output,PIN_C14,7,B7_N0,PIN_C14,2.5 V,,,,,
up,Input,PIN_B8,7,B7_N0,PIN_B8,2.5 V,,,,,
MAX10_CLK2_50,Unknown,PIN_N14,6,B6_N0,,3.3-V LVTTL,,,,,
DRAM_ADDR[0],Unknown,PIN_U17,5,B5_N0,,3.3-V LVTTL,,,,,
DRAM_ADDR[1],Unknown,PIN_W19,5,B5_N0,,3.3-V LVTTL,,,,,
DRAM_ADDR[2],Unknown,PIN_V18,5,B5_N0,,3.3-V LVTTL,,,,,
DRAM_ADDR[3],Unknown,PIN_U18,5,B5_N0,,3.3-V LVTTL,,,,,
DRAM_ADDR[4],Unknown,PIN_U19,5,B5_N0,,3.3-V LVTTL,,,,,
DRAM_ADDR[5],Unknown,PIN_T18,5,B5_N0,,3.3-V LVTTL,,,,,
DRAM_ADDR[6],Unknown,PIN_T19,5,B5_N0,,3.3-V LVTTL,,,,,
DRAM_ADDR[7],Unknown,PIN_R18,5,B5_N0,,3.3-V LVTTL,,,,,
DRAM_ADDR[8],Unknown,PIN_P18,5,B5_N0,,3.3-V LVTTL,,,,,
DRAM_ADDR[9],Unknown,PIN_P19,5,B5_N0,,3.3-V LVTTL,,,,,
DRAM_ADDR[10],Unknown,PIN_T20,5,B5_N0,,3.3-V LVTTL,,,,,
DRAM_ADDR[11],Unknown,PIN_P20,5,B5_N0,,3.3-V LVTTL,,,,,
DRAM_ADDR[12],Unknown,PIN_R20,5,B5_N0,,3.3-V LVTTL,,,,,
DRAM_BA[0],Unknown,PIN_T21,5,B5_N0,,3.3-V LVTTL,,,,,
DRAM_BA[1],Unknown,PIN_T22,5,B5_N0,,3.3-V LVTTL,,,,,
DRAM_CAS_N,Unknown,PIN_U21,5,B5_N0,,3.3-V LVTTL,,,,,
DRAM_CKE,Unknown,PIN_N22,5,B5_N0,,3.3-V LVTTL,,,,,
DRAM_CLK,Unknown,PIN_L14,6,B6_N0,,3.3-V LVTTL,,,,,
DRAM_CS_N,Unknown,PIN_U20,5,B5_N0,,3.3-V LVTTL,,,,,
DRAM_DQ[0],Unknown,PIN_Y21,5,B5_N0,,3.3-V LVTTL,,,,,
DRAM_DQ[1],Unknown,PIN_Y20,5,B5_N0,,3.3-V LVTTL,,,,,
DRAM_DQ[2],Unknown,PIN_AA22,5,B5_N0,,3.3-V LVTTL,,,,,
DRAM_DQ[3],Unknown,PIN_AA21,5,B5_N0,,3.3-V LVTTL,,,,,
DRAM_DQ[4],Unknown,PIN_Y22,5,B5_N0,,3.3-V LVTTL,,,,,
DRAM_DQ[5],Unknown,PIN_W22,5,B5_N0,,3.3-V LVTTL,,,,,
